group,metric,n_scored,fraction_lt_0,n,mean,median,std,q25,q75,ci_low,ci_high,skip_counts
all,model_effect_clean_rationale_raw,155,0.8709677419354839,155,-1.405151149409733,-1.6020338721573353,1.1296075509330927,-2.092197071877308,-0.7313106432557106,-1.5942768065398936,-1.210779114581284,
all,model_effect_swap_rationale_raw,155,0.25161290322580643,155,0.7323423938825726,0.8953533172607422,1.132288385915955,-0.001187940128147602,1.465482662897557,0.548848109728161,0.9206306358049022,
answer_changed,clean_model_clean_rationale_clean_minus_swap_margin_norm,155,0.08387096774193549,155,3.1038117713516282,3.5161255088945227,1.9971698146960875,1.9185933619737625,4.479005981391916,2.786940578461581,3.4102260938405418,
answer_changed,clean_model_swap_rationale_clean_minus_swap_margin_norm,155,0.8387096774193549,155,-2.080097205152009,-2.6810991135425866,2.1169017013795126,-3.7524450009999173,-0.2710578183333079,-2.40261579046064,-1.7399453261882756,
answer_changed,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,155,0.07741935483870968,155,2.617092850462235,2.995761513710022,1.6309686344072003,1.6786269325311438,3.779896657234834,2.374492239122719,2.864258328816552,
answer_changed,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,155,0.8258064516129032,155,-1.8758751935602702,-2.372902885079384,1.8321472366746503,-3.2820726009085774,-0.4738443692525227,-2.147396864518269,-1.5834859287166845,
answer_changed,clean_model_rationale_effect_norm,155,0.9548387096774194,155,-5.183908976503637,-5.433676373834412,2.91940837965051,-7.165058017669556,-3.565399551919351,-5.631853450711093,-4.716061341617936,
answer_changed,direct_swap_model_rationale_effect_norm,155,0.9483870967741935,155,-4.492968044022506,-4.78559941239655,2.5078703554934156,-6.148101597093046,-3.139957114122808,-4.8739984354957295,-4.112612569545947,
answer_changed,model_effect_clean_rationale_norm,155,0.8451612903225807,155,-0.4867189208893933,-0.5340112907191119,0.43462448388535646,-0.7528446899959818,-0.22288170688164755,-0.553016719710941,-0.4139158681209279,
answer_changed,model_effect_swap_rationale_norm,155,0.25806451612903225,155,0.2042220115917383,0.2558137297630312,0.3856082966560231,-0.013442175669802658,0.4720500067608162,0.14227334928856397,0.265243061716054,
answer_changed,clean_model_rationale_effect_raw,155,0.9612903225806452,155,-16.91174006485981,-17.436563730239868,9.856169879322364,-24.135888787917793,-11.027824975550175,-18.449401934360633,-15.441432913477614,
answer_changed,direct_swap_model_rationale_effect_raw,155,0.9548387096774194,155,-14.774246521567505,-15.194260322488844,8.587287369050582,-20.70225297054276,-9.638046852312982,-16.105105408030607,-13.523810590425686,
answer_changed,model_effect_clean_rationale_raw,155,0.8709677419354839,155,-1.405151149409733,-1.6020338721573353,1.1296075509330927,-2.092197071877308,-0.7313106432557106,-1.5905953520409493,-1.225416537835075,
answer_changed,model_effect_swap_rationale_raw,155,0.25161290322580643,155,0.7323423938825726,0.8953533172607422,1.132288385915955,-0.001187940128147602,1.465482662897557,0.5541909830698053,0.9037129235960122,
answer_unchanged,clean_model_clean_rationale_clean_minus_swap_margin_norm,0,,0,,,,,,,,
answer_unchanged,clean_model_swap_rationale_clean_minus_swap_margin_norm,0,,0,,,,,,,,
answer_unchanged,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,0,,0,,,,,,,,
answer_unchanged,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,0,,0,,,,,,,,
answer_unchanged,clean_model_rationale_effect_norm,0,,0,,,,,,,,
answer_unchanged,direct_swap_model_rationale_effect_norm,0,,0,,,,,,,,
answer_unchanged,model_effect_clean_rationale_norm,0,,0,,,,,,,,
answer_unchanged,model_effect_swap_rationale_norm,0,,0,,,,,,,,
answer_unchanged,clean_model_rationale_effect_raw,0,,0,,,,,,,,
answer_unchanged,direct_swap_model_rationale_effect_raw,0,,0,,,,,,,,
answer_unchanged,model_effect_clean_rationale_raw,0,,0,,,,,,,,
answer_unchanged,model_effect_swap_rationale_raw,0,,0,,,,,,,,
stable_correct,clean_model_clean_rationale_clean_minus_swap_margin_norm,0,,0,,,,,,,,
stable_correct,clean_model_swap_rationale_clean_minus_swap_margin_norm,0,,0,,,,,,,,
stable_correct,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,0,,0,,,,,,,,
stable_correct,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,0,,0,,,,,,,,
stable_correct,clean_model_rationale_effect_norm,0,,0,,,,,,,,
stable_correct,direct_swap_model_rationale_effect_norm,0,,0,,,,,,,,
stable_correct,model_effect_clean_rationale_norm,0,,0,,,,,,,,
stable_correct,model_effect_swap_rationale_norm,0,,0,,,,,,,,
stable_correct,clean_model_rationale_effect_raw,0,,0,,,,,,,,
stable_correct,direct_swap_model_rationale_effect_raw,0,,0,,,,,,,,
stable_correct,model_effect_clean_rationale_raw,0,,0,,,,,,,,
stable_correct,model_effect_swap_rationale_raw,0,,0,,,,,,,,
